region_1,region_2,carrier_1,parameter,timestep_2,value
CH,CH,electricity,dem,d015,11.21394322
CZ,CZ,electricity,dem,d015,6.085290501
DK,DK,electricity,dem,d015,5.102399279
ES,ES,electricity,dem,d015,31.35041382
FI,FI,electricity,dem,d015,2.631465253
FR,FR,electricity,dem,d015,75.62534211
GR,GR,electricity,dem,d015,6.99552697
HR,HR,electricity,dem,d015,2.26414861
HU,HU,electricity,dem,d015,3.653537026
IE,IE,electricity,dem,d015,3.016877575
IT,IT,electricity,dem,d015,16.01541826
LU,LU,electricity,dem,d015,0.945182054
NL,NL,electricity,dem,d015,8.800795971
NO,NO,electricity,dem,d015,15.81414474
PL,PL,electricity,dem,d015,18.45028622
PT,PT,electricity,dem,d015,5.701622569
RO,RO,electricity,dem,d015,6.479768107
SE,SE,electricity,dem,d015,16.70203991
SI,SI,electricity,dem,d015,1.050439448
SK,SK,electricity,dem,d015,2.268931811
UK,UK,electricity,dem,d015,40.27505374
EE,EE,electricity,dem,d015,0.942353267
LT,LT,electricity,dem,d015,0.587579296
LV,LV,electricity,dem,d015,0.819491238
NONEU_Balkan,NONEU_Balkan,electricity,dem,d015,5.837020631
TR,TR,electricity,dem,d015,28.62803593
AT,AT,electricity,dem,d016,5.181624536
BE,BE,electricity,dem,d016,6.163535005
BG,BG,electricity,dem,d016,4.440013735
CH,CH,electricity,dem,d016,11.19425848
CZ,CZ,electricity,dem,d016,6.083749205
DK,DK,electricity,dem,d016,5.444340664
ES,ES,electricity,dem,d016,31.63603983
FI,FI,electricity,dem,d016,2.688158309
FR,FR,electricity,dem,d016,76.76463859
GR,GR,electricity,dem,d016,6.909391435
HR,HR,electricity,dem,d016,2.293430721
HU,HU,electricity,dem,d016,3.670080075
IE,IE,electricity,dem,d016,3.032013087
IT,IT,electricity,dem,d016,16.26913343
LU,LU,electricity,dem,d016,0.865900316
NL,NL,electricity,dem,d016,8.87049782
NO,NO,electricity,dem,d016,15.91166623
PL,PL,electricity,dem,d016,18.54619977
PT,PT,electricity,dem,d016,5.765290828
RO,RO,electricity,dem,d016,6.440245171
SE,SE,electricity,dem,d016,16.9927082
SI,SI,electricity,dem,d016,1.06870288
SK,SK,electricity,dem,d016,2.264800174
UK,UK,electricity,dem,d016,41.50533826
EE,EE,electricity,dem,d016,0.95009307
LT,LT,electricity,dem,d016,0.577667286
LV,LV,electricity,dem,d016,0.817194887
NONEU_Balkan,NONEU_Balkan,electricity,dem,d016,5.672768613
TR,TR,electricity,dem,d016,28.27554052
AT,AT,electricity,dem,d017,5.239156014
BE,BE,electricity,dem,d017,6.264306491
BG,BG,electricity,dem,d017,4.326993637
CH,CH,electricity,dem,d017,11.31899682
CZ,CZ,electricity,dem,d017,6.093168232
